Timestamp,"This survey is intended specifically to understand the middleware experience for ROS 2 Foxy; but we're open to hearing about experiences with other ROS versions. For your answers to this survey, what version of ROS 2 are you using? ",Which of the following best describes your robotic application?,Which of the following transport layers does your application use?,Which of the following best describes your robot's application domain?,On a scale from 1 to 10 please rate your computer networking and debugging skills. ,We want to understand your ROS experience. How many years have you been using ROS? ,Please rate your familiarity with ROS Middleware.,Please rate your Linux debugging and development skills. ,Have you changed your default ROS 2 Foxy RMW ?,For ROS 2 Foxy what ROS middleware layer are you primarily using? ,Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW worked out of the box for my application.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I understand how RMWs work.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I am capable of changing my RMW easily.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I would/have considered changing my RMW implementation.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [Open Robotics provides sufficient information for me to make a sound RMW selection.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient support.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient  documentation.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient debugging tools.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient features for my application.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient performance for my application.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I am considering or have considered changing my current RMW implementation due to technical challenges.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [DDS/RMWs have improved the overall ROS experience.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I would advocate for my current RMW to be the default ROS 2.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I would recommend my current RMW to a friend.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My RMW interoperates well with other systems. ],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [Based on the out-of-the-box experience I would recommend ROS2 Foxy to a friend.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [ROS should continue to use DDS as the default RMW implementation.],"Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I consider my current RMW implementation robust, reliable, and ready for production.]",Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I consider my current RMW implementation secure.],"Please briefly describe your robotics application and and its associated network topology. This description helps us understand sub-domains where particular RMWs may have issues. In particular, specify if you had privileged/root access to the network infrastructure or not. ","Please describe your ROS RMW journey for ROS 2. If you used the default and it worked great, let us know. If you had to change RMWs please let us know why this happened and what that process was like. If you had a good or bad experience with your RMW we would to hear about it. ","How can the RMW ecosystem be improved? Are there features you require? Are there tools, documentation, or materials that would improve the ROS 2 experience?",Would you like to advocate for or against a particular default RMW to the TSC? If so please identify the RMW and why you believe it is the best choice.,Is there anything else you would like us to know or to communicate to the TSC? 
2020/10/14 1:12:56 PM MDT,Foxy,Multiple robots controlled from multiple computers,Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;4G LTE / 5G  / Telecom,Support Software,10,5,4,4,Yes,eProsima FastDDS (Foxy default),Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,NO OPINION / NOT APPLICABLE,Agree,Agree,Agree,Agree,Agree,Agree,Agree,NO OPINION / NOT APPLICABLE,Agree,Agree,Agree,Hololens connected to a Robot for visualization and command and control,I've ported MRW implementations to not traditional robotics platforms,Document and support other pub/sub than DDS.,"No, I don't have a preference.",Keep up the good work!
2020/10/15 1:12:14 AM MDT,Foxy,One robot with multiple onboard computers,Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;A wireless network (802.11 a/b/g) that someone else controls,Academic Research,6,10,3,4,Yes,eProsima FastDDS (Foxy default),Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,Disagree,Disagree,Strongly Agree,Neutral,NO OPINION / NOT APPLICABLE,Agree,NO OPINION / NOT APPLICABLE,Disagree,Agree,Neutral,NO OPINION / NOT APPLICABLE,"We're interested in two applications that may be out of the ordinary.

Real-time, high frequency (2KHz) deterministic communications, at least intra-process. With the option of being non-deterministic inter-process for debugging using mostly the same code.

Multiple robots in the same network, isolated between them. In ROS1 it was out of the box and in ROS2 we need to do something explicit, but it's not something we've looked into yet.","We're still evaluating different RMWs, this was quite easy thanks to the docker images available with multiple RMW's plus the environment variable.","Some standarized tests for different use cases, right now I guess anyone who cares about choosing a RMW is doing their own tests from scratch. Even if there are some tools available like Apex's performance test.",,
2020/10/15 2:01:14 AM MDT,Foxy,One robot with multiple onboard computers,A wireless network (802.11 a/b/g) that someone else controls,Industrial,8,2,4,5,No,eProsima FastDDS (Foxy default),Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NO OPINION / NOT APPLICABLE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,
2020/10/15 2:35:15 AM MDT,Dashing,One robot with multiple onboard computers,"Inter process communication / all on a single machine;A hardwired Ethernet connection;Embedded communications (serial, I2C, USB, etc)",Autonomy / Vehicle,8,1,3,6,No,eProsima FastDDS (Foxy default),Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,I used default FastDDS and it works well out of the box.,,"I advocate for FastDDS. It is very well documented, maintained and fast.",
2020/10/15 3:06:41 AM MDT,Dashing,Multiple robots controlled from multiple computers,"A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;Embedded communications (serial, I2C, USB, etc)",Research,9,2,4,7,Yes,eProsima FastDDS (Foxy default),Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Neutral,"Main projects are based on Ethernet network with heterogenous boards (ARM, x86, RiskV). Targeted domains are energy and automotive but we are looking for others. I am administrating the network and some difficulties were found because a node cannot communicate directly over UART. We need a gateway to use those devices. We were hopping to have a complete network but we have currently 2 networks and a bridge UART between them...",We are using the default one but we have to deal with some features for our usecase. I tried others but the FastRTPS or microDDS seems the best for now.,"Well, try other rmw. I saw that IntelDPS for IOT was released. Did you thought about zmq ? It's seems the most appropriate and if I remerber well, ZMQ was used for the proof of concept.",   , 
2020/10/15 3:07:58 AM MDT,Foxy,One robot with multiple onboard computers,A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.,Autonomy / Vehicle,6,6,3,5,No,eProsima FastDDS (Foxy default),Strongly Agree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Our main applications are autonomous UGVs. For each application we make separate network. We have root access to it.,We use eProsima's and it works without any problems. ,Maybe more examples which will cover more use-cases.,"eProsima's RMW works, so I think it is the best choice.",Please keep Fast RTPS ;-)
2020/10/15 3:11:00 AM MDT,Foxy,One robot with multiple onboard computers,A wireless network (802.11 a/b/g) that someone else controls,Industrial,7,3,4,5,No,eProsima FastDDS (Foxy default),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,
2020/10/15 3:25:11 AM MDT,Eloquent,Multiple robots controlled from multiple computers,Inter process communication / all on a single machine;A hardwired Ethernet connection;4G LTE / 5G  / Telecom,Autonomy / Vehicle,9,5,4,5,No,eProsima FastDDS (Foxy default),Agree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,NO OPINION / NOT APPLICABLE,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,,,,,
2020/10/15 3:44:04 AM MDT,Foxy,Multiple robots controlled from multiple computers,A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;A wireless network (802.11 a/b/g) that someone else controls,Academic Research,8,7,4,5,Yes,eProsima FastDDS (Foxy default),Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,"Several mobile robots and arms, controlled by several PCs. Stationary robots are connected via wires while mobile plattforms use Wifi. There is only root access to the PCs, not the network infrastrructure.",Using the default works great. We tested some others to compare realtime capabilities but switched back to FastDDS.,"more documentation about optimizations in special use cases, e.g. realtime",FastDDS - It works great and to many changes make it increase maintenance efforts for custom software,
2020/10/15 3:58:38 AM MDT,Foxy,One robot powered with a single computer,Inter process communication / all on a single machine;A wireless network (802.11 a/b/g) that someone else controls,Industrial,6,4,3,7,No,eProsima FastDDS (Foxy default),Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,NO OPINION / NOT APPLICABLE,Agree,Agree,NO OPINION / NOT APPLICABLE,Agree,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,Agree,Neutral,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,PC connected to Industrial robot. Internally ROS2 & ROS1 via bridge. PC connected to company network via WIFI.,Did not change.,"To be honest, RMW should not be visible. As much of the configuration should be abstracted. I want to focus on robot application development and not network/middleware problems.",No.,No.
2020/10/15 4:38:52 AM MDT,Dashing,Multiple robots controlled by a single computer,A wireless network (802.11 a/b/g) that you control.,Academic Research,9,2,3,4,No,eProsima FastDDS (Foxy default),Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,"Industrial hand robots autonomously picking goods from boxes, exhibition",My RMW is the first I used and it worked for my purposes,"Documentation is good, but I'd always ask for improvements on this area",none,no
2020/10/15 5:02:21 AM MDT,Foxy,Multiple robots controlled from multiple computers,A hardwired Ethernet connection,Defence,3,2,2,2,,eProsima FastDDS (Foxy default),Agree,Agree,Agree,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,,,,,
2020/10/15 5:04:37 AM MDT,Foxy,Multiple robots controlled by a single computer,A wireless network (802.11 a/b/g) that you control.,Academic Research,5,3,2,5,No,eProsima FastDDS (Foxy default),Strongly Agree,Neutral,Agree,Strongly Disagree,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,NO OPINION / NOT APPLICABLE,"This is a project I'm currently working on for my master's degree. A fleet of cargo robots for warehouses, that can be set with a destination in order to transport items around. The staff can request a free one to be delivered to his/her location, load it up and send it to another station. They can also be configured to follow the staff member around while being loaded.

The robots are connected to a WIFI network, and communicate with a centralized station that handles the queue of requests. Robots also communicate with each other, so path-planning can be done beforehand to avoid interlockings (think of one robot going down one aisle and the other trying to go up) and decision making (in the previous case, one of them should retreat to exit the locking)

We have complete access and control to the network infrastructure","Didn't have to change any RMW implementation. It worked out of the box, so no consideration was made to change it from the default.",Not specially.,"Cannot advocate for a particular RMW, as we only used the default one. However, we never had any trouble with it, and we prefer it that way. Should the default RMW change, we would consider configuring our solution to use the current one, as we already know it works for us.",N/A
2020/10/15 6:51:57 AM MDT,Eloquent,Multiple robots controlled by a single computer,A wireless network (802.11 a/b/g) that someone else controls,Industrial,7,2,4,5,No,eProsima FastDDS (Foxy default),Strongly Agree,Neutral,Agree,Strongly Disagree,Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,NO OPINION / NOT APPLICABLE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Managing sensorical data on industrial plants. No privileged access to network infrastructure.,No previous ROS experience before ROS2. Middleware layer has not arisen any issues.,Speed up system startup specially on noisy Wifi.,,
2020/10/15 7:04:14 AM MDT,Foxy,Multiple robots controlled from multiple computers,A hardwired Ethernet connection,Corporate R&D,8,3,4,5,No,eProsima FastDDS (Foxy default),Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Heliostat control position on Concentrated solar power plants,ROS2 is my first approach to ROS,More information on scalability for large deployments.,,
2020/10/15 7:56:19 AM MDT,Eloquent,One robot controlled from with second remote computer as a terminal.,Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;A wireless network (802.11 a/b/g) that someone else controls,Education,5,10,3,5,No,eProsima FastDDS (Foxy default),Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,I have a few robots running ROS2 on our local wifi network. Each robot is associated to a student. We have privileged root access to the network,We have been using the default configurated DDS (FastRTPS) and it worked great. So far no complains,"For me, a general user without very specific requirement, the default DDS implementation is very good. I understand that for some specific applications, another implementation may be better. It would be great if there were a way to provide an independent analysis that indicates for which specific cases one implementation is better option than the others. So far, only interested analysis have been created.","I advocate for FastDDS (formerly FastRTPS) from eProsima. I think their implementation works great for most of the situations. Also, they have a full and large team dedicated to develop and improve it. Finally, they have specialised services for companies that need extra development on top of that. And it is open source ",
2020/10/15 8:04:31 AM MDT,Foxy,One robot with multiple onboard computers,"A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;Embedded communications (serial, I2C, USB, etc)",Autonomy / Vehicle,7,0.5,3,5,Yes,ADLink CycloneDDS,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,EvGrandPrix and Indy Autonomous Challenge.  Multiple PoE devices and USB.,Moved to Cyclone DDS for better performance.,Cyclone DDS,We're using Cyclone and like it.,Thanks for the great ecosystem and support!
2020/10/15 8:36:03 AM MDT,Foxy,Multiple robots controlled by a single computer,"A wireless network (802.11 a/b/g) that you control.;A wireless network (802.11 a/b/g) that someone else controls;Embedded communications (serial, I2C, USB, etc)",Logistics / Fullfillment,8,5,5,6,No,eProsima FastDDS (Foxy default),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,
2020/10/15 8:44:55 AM MDT,Foxy,Multiple robots controlled by a single computer,"Embedded communications (serial, I2C, USB, etc)",Hardware Develpoment,6,2,4,5,No,eProsima FastDDS (Foxy default),Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,My ROS 2 main application is investigating planning and navigation algorithms for diff driver robots.,"I haven't changed the default RMW, works ok for my application.","Ok with the supported middlware features, mostly used services and actions and good documentation is provided.",Default RMW middleware is open source and ok for my use cases.,"Nothing, all fine."
2020/10/15 11:02:57 AM MDT,Foxy,One robot with multiple onboard computers,Inter process communication / all on a single machine;PCIE,Autonomy / Vehicle,5,3,2,4,Yes,ADLink CycloneDDS,Strongly Disagree,Neutral,Agree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Neutral,NO OPINION / NOT APPLICABLE,Disagree,Neutral,Strongly Disagree,NO OPINION / NOT APPLICABLE,Embedded Device connected over PCIE NTB netdev to a PC used to transport high resolution images,DDS performance is not sufficient and a custom bridge between PC/Embedded device is used.,,,
2020/10/15 12:53:33 PM MDT,Foxy,One robot powered with a single computer,Inter process communication / all on a single machine,Autonomy / Vehicle,9,3,4,6,Yes,ADLink CycloneDDS,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Neutral,I develop a database and make it available via ROS2 message passing. I have privileged access to network infrastructure.,"While I worked with AWS Robomaker, I actively tested the overhead and reliability of a few ROS2 RMW implementations last year after discovering a few bugs and performance problems in FastRTPS. As of one year ago, I had a fair bit of trouble getting FastRTPS working reliably. I could reliably reproduce seg faults and deadlocks, and my reported issues stayed open for over a year. I tested a few other implementations and found that CycloneDDS had by far the best performance and reliability, though at the time it had limited support for ROS2. I've used CycloneDDS whenever possible since then.","If it doesn't exist yet, I'd just like to know what perfomance and reliability benchmarks any given RMW implementation is hitting. As of two years ago, I wasn't aware of any of that existing. The information would have been extremely useful.","This is still going off of information from one year ago, but I'd strongly advocate for CycloneDDS over FastRTPS if they've managed to improve ROS2 support. My experience with CycloneDDS has been favorable. I can't say the same about FastRTPS.",
2020/10/15 10:18:08 PM MDT,Foxy,Multiple robots controlled by a single computer,Inter process communication / all on a single machine;A hardwired Ethernet connection,Autonomy / Vehicle,8,5,4,6,No,ADLink CycloneDDS,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,
2020/10/15 11:14:32 PM MDT,Rolling,One robot with multiple onboard computers,"A hardwired Ethernet connection;4G LTE / 5G  / Telecom;Embedded communications (serial, I2C, USB, etc)",Autonomy / Vehicle,5,3,2,5,No,eProsima FastDDS (Foxy default),Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Main computer is a server with various display computers attached via a switch or onboard WiFi. Server computer is connected to 4G.,Used open splice 4 years ago. It was too buggy. Used a custom middleware for a couple of years. Used Apollo's cyber for while. Apollo's cyber uses Fast-DDS.,"running more tests, moving to bazel, using dynamic analysis, support intraprocess, and support interprocess communications.",I like that Fast-DDS responds to the community on GitHub.,Make smaller changes across ROS versions in the future. It's silly that there is both ROS 1 and ROS 2 right now.
2020/10/15 11:37:45 PM MDT,Foxy,One robot controlled from with second remote computer as a terminal.,Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;A wireless network (802.11 a/b/g) that someone else controls,Education,6,2,2,3,No,eProsima FastDDS (Foxy default),Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"The basic applications I implement are based on robots with self-contained publishers and subscribers, which are controlled and monitored through an external machine. The network is a university network so I do not have access to its configuration.",I started with the ROS 2 tutorials and have not had any problems with the default RMW implementation. ,Maybe including more advanced tutorials.,I think eProsima FastDDS should be the default implementation because of all the features it provides.,
2020/10/15 11:45:30 PM MDT,Foxy,Multiple robots controlled by a single computer,Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;A wireless network (802.11 a/b/g) that someone else controls,Academic Research,7,3,3,5,No,eProsima FastDDS (Foxy default),Strongly Agree,Neutral,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I have a multi-robot system with ROS 2 Foxy. These are synchronised with each other, as well as with sensors and actuators in a room. The system is quite complex so the traffic on the network is excessive. That's why I use FastDDS' Discovery Server to reduce this traffic with the out-of-the-box configuration.",I have never had to change the default implementation.,It is enough with what there is.,eProsima FastDDS as it has the Discovery Service based on a client-server architecture.,
2020/10/16 12:46:59 AM MDT,Foxy,Multiple robots controlled from multiple computers,4G LTE / 5G  / Telecom,Corporate R&D,9,2,3,5,No,eProsima FastDDS (Foxy default),Agree,Agree,Agree,Neutral,Disagree,Disagree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,NO OPINION / NOT APPLICABLE,Agree,Agree,Strongly Disagree,NO OPINION / NOT APPLICABLE,Distributed localization and mapping application executing on NVIDIA Jetson HW platforms connected over Ethernet and 4G/5G networks. Have root access to network infrastructure. ,Default (Fast-DDS) worked well. ,"RMW implementations should enable convenient configuration of QoS settings of publishers and subscribers in ROS2 applications. As of today, they do not have fine-grained interfaces to configure QoS for *select few* publishers/subscribers. More comprehensive documentation with examples of QoS configuration will help. Tools that indicate incompatible request-offer QoS settings and suggest compatible alternatives will help improve developer productivity. It would be excellent if the default RMW vendor has a reputation of offering prompt support in the ROS Answers site.",eProsima Fast-DDS is a good choice because it is open-source. Users can study its construction and modify it to suit their needs. eProsima vendors are usually quick in addressing issues on their Github site. ,"I request the TSC to introduce support in ROS2 for network QoS configuration. It seems like there is a general resistance and ignorance of network configuration. However, the robotics-focused networks such as 5G are built on the idea that applications will explicitly configure the required QoS. Performance potential of applications is degraded and networking investments are wasted due to lack of network configuration enablers in ROS2."
2020/10/16 6:13:50 AM MDT,Dashing,"1 or several unmanned vehicules, multiple computers onboard and a remote terminal:",A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.,unmanned vehicules in defence r&d,8,2,4,6,No,eProsima FastDDS (Foxy default),Agree,Agree,Neutral,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,"unmanned vehicules , ethernet on board, wifi and other with remote terminal or other vehicules","I require the default rmw to contratists, need for full compatibility with all proyects","full compatibility, easy configuration","eprosima , it works as it shoud, and we have locally the developers and support company",no
2020/10/16 6:49:34 AM MDT,Foxy,One robot with multiple onboard computers,"Inter process communication / all on a single machine;A wireless network (802.11 a/b/g) that you control.;Embedded communications (serial, I2C, USB, etc)",Autonomy / Vehicle,10,2,3,4,No,ADLink CycloneDDS,Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Autonomous caled vehicle,,,,
2020/10/16 7:30:27 AM MDT,Foxy,Multiple robots controlled from multiple computers,"Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;A wireless network (802.11 a/b/g) that someone else controls;Embedded communications (serial, I2C, USB, etc)",Logistics / Fullfillment,8,4,3,6,Yes,ADLink CycloneDDS,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Agree,NO OPINION / NOT APPLICABLE,Neutral,Strongly Agree,Neutral,Disagree,Our AMR robots will be deployed in warehouses to do logistics. Each robot is connected to a WiFi AP to connect to a cloud for diagnostics and application level control and management. In the cloud we will run a website which aggregates ROS2 information from warehouses of multiple clients. We have full control over the network setup on the cloud and clients side and run a VPN between cloud and clients sites to enable ROS2 multicast to the cloud.,"Our requirements are real time robot operation on the robot, reliable message transfer to the cloud and back and security over all topics.

We first tested everything with Fast DDS and SROS but found that in a multi system setup with many nodes on each system we had some trouble in discovering nodes. Therefore we switched to CycloneDDS and saw that we had less issues with it. Except for SROS which we haven't been able to make work.","The documentation is lacking in many places. From the start where you have to pick and decide on which RMW implementation to use up-to how we can configure/optimize each implementation.

Having documentation on multi system setups with configuration options (and why) would be a big improvement.","CycloneDDS has been more consistent with outputting the expected performance. The test we ran show that in many different scenarios CycloneDDS is able to work without a hitch, while Fast DDS's performance outperforms CycloneDDS in some scenarios it completely fails in others (100+ nodes in a distributed setup over VPN).",
2020/10/16 8:08:54 AM MDT,Foxy,One robot powered with a single computer,Inter process communication / all on a single machine;A hardwired Ethernet connection,Autonomy / Vehicle,9,2.5,4,5,Yes,RTI Connext,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,,"I mostly used RTI Connext due to a decision beyond my influence. Overall it's a pretty solid solution with some very useful debugging tools. However, licensing seems to be a huge problem in terms of wider adoption. In addition, I noticed very inconsistent behavior with of RTI's codegen feature (in 5.3.1, the only version officially supported in ROS 2).",,"I would advocate for Cyclone DDS. It's an open-source and very performant solution widely adopted by the autonomous driving community. Documentation is still it's early stages, but I received very good support when trying to solve any problems I had.",
2020/10/16 9:22:54 AM MDT,Foxy,One robot with multiple onboard computers,Inter process communication / all on a single machine;A hardwired Ethernet connection,Autonomy / Vehicle,2,10,4,4,Yes,ADLink CycloneDDS,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,NO OPINION / NOT APPLICABLE,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,NO OPINION / NOT APPLICABLE,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Primarily single robot with multiple onboard computers communicating via ethernet. Also some applications where the single robot communicates with outside machines via wifi.,We use cyclonedds for its performance and the really outstanding engineering support they have.,"There are many times we think that ROS 2 should not have tried to abstract out the middleware... the abstraction adds a lot of complexity and overhead as well as obscuring some features of the actual middleware being used. We understand why an abstraction was done, but, in an open source project with very limited resources, I think I would prefer simplicity and maintainability over generality.","I would definitely advocate for a default RMW (and even further for only a single supported RMW). As for which one, I don't have a strong opinion, but I would be biased to cyclonedds simply because they seem extremely willing to engage with the community and to be responsive to its needs.",
2020/10/16 9:41:58 AM MDT,Foxy,One robot controlled from with second remote computer as a terminal.,Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;A wireless network (802.11 a/b/g) that someone else controls,Education,5,2,2,3,No,eProsima FastDDS (Foxy default),Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"At university I worked with ROS 2 for the implementation of ecosystem simulators with robots. It used several bash sessions to simulate the behaviour of the real robot so communication was local at all times, within the same machine but in different processes.",I have never had to make any changes to the ROS RMW.,,I would recommend the current default implementation as I have never had any problems or need to change it.,
